"SERIE","TIPO","ESTADO","EDAD","TIPOAP","FECUP","FECPAR","SEXO","SEXO1","BECER","BECER1","OBSPAR","EDOBEC","EDOBEC1","RAZABE","PESOIB","PESOIB1","IENTPAR","COD","CODAP","MARCABEC1","MARCABEC2","CAUSAnm","OBSERnm","Historia","NCICLO"
"D8133","VACA VACIA","CONDICION 2","03-04","","","1998-12-02 00:00:00","HEMBRA","","G8181","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8131","VACA VACIA","CONDICION 2","03-04","","","1998-12-03 00:00:00","HEMBRA","","H8001","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8048","VACA VACIA","CONDICION 2","03-09","","","1998-12-05 00:00:00","HEMBRA","","H8002","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8132","VACA VACIA","CONDICION 2","03-04","","","1998-12-09 00:00:00","HEMBRA","","H8004","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"E8037","VACA VACIA","CONDICION 2","02-11","","","1998-12-19 00:00:00","HEMBRA","","H8007","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"549","VACA VACIA","CONDICION 2","09-08","VACA PROD.VACIA","1997-12-27 00:00:00","1998-12-20 00:00:00","HEMBRA","","H8009","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","358","11","12","Vi","Ni","","","False",""
"D8150","VACA VACIA","CONDICION 2","03-02","","","1998-12-29 00:00:00","HEMBRA","","H8012","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","","Vi","Ni","","","False",""
"D8088","VACA VACIA","CONDICION 2","03-07","VACA VACIA","","1998-12-30 00:00:00","HEMBRA","","H8013","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"3801","VACA VACIA","CONDICION 2","05-08","VACA PROD.VACIA","1997-12-22 00:00:00","1999-01-04 00:00:00","MACHO","","H8014","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","378","11","12","Vi","Ni","","","False",""
"D8076","VACA VACIA","CONDICION 2","03-08","VACA VACIA","","1999-01-11 00:00:00","MACHO","","H8017","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"E8004","VACA VACIA","CONDICION 2","03-02","VACA VACIA","","1999-01-04 00:00:00","HEMBRA","","H8015","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"D8153","VACA VACIA","CONDICION 2","03-02","VACA VACIA","","1999-01-11 00:00:00","HEMBRA","","H8018","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"D8109","VACA VACIA","CONDICION 2","03-05","VACA VACIA","","1999-01-18 00:00:00","HEMBRA","","H8020","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"D8018","VACA VACIA","CONDICION 2","03-12","VACA PROD.VACIA","1997-12-12 00:00:00","1999-01-16 00:00:00","HEMBRA","","H8019","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","400","11","12","Vi","Ni","","","False",""
"D8141","VACA VACIA","CONDICION 2","03-04","VACA VACIA","","1999-01-09 00:00:00","HEMBRA","","H8016","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","","11","11","Vi","Ni","","","False",""
"113","","","","VACA VACIA","1995-10-30 00:00:00","1996-10-01 00:00:00","MACHO","","E8122","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"113","","","","VACA VACIA","1996-10-01 00:00:00","1997-08-11 00:00:00","MACHO","","F8096","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","11","","","","","False",""
"113","","","","VACA VACIA","1994-10-24 00:00:00","1995-10-30 00:00:00","MACHO","","D813-9","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","15","11","","","","","False",""
"114","","","","VACA VACIA","1995-01-10 00:00:00","1996-04-15 00:00:00","HEMBRA","","E8049","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"114","","","","VACA VACIA","1996-04-15 00:00:00","1997-12-24 00:00:00","MACHO","","F8179","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 21","14","11","","","","","False",""
"14","","","","VACA PROD.VACIA","1995-09-08 00:00:00","1995-09-08 00:00:00","HEMBRA","","D810-8","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","  0","14","12","","","","","False",""
"147","","","","VACA VACIA","1994-12-26 00:00:00","1996-01-09 00:00:00","MACHO","","E8013","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"1511","","","","VACA PROD.VACIA","1995-08-28 00:00:00","1996-12-17 00:00:00","MACHO","","E8165","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 16","14","12","","","","","False",""
"1512","","","","VACA PROD.VACIA","1997-04-23 00:00:00","1998-03-19 00:00:00","HEMBRA","","G8059","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1512","","","","VACA VACIA","1996-06-15 00:00:00","1997-04-23 00:00:00","HEMBRA","","F8053","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","11","","","","","False",""
"1512","","","","VACA VACIA","1995-02-25 00:00:00","1996-06-15 00:00:00","MACHO","","E8061","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 16","14","11","","","","","False",""
"1524","","","","VACA PROD.VACIA","1996-02-27 00:00:00","1997-01-15 00:00:00","HEMBRA","","F8006","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1527","","","","","1995-03-22 00:00:00","1996-02-26 00:00:00","HEMBRA","","E8034","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","","","","","","False",""
"1527","","","","VACA PROD.VACIA","1997-01-19 00:00:00","1997-12-13 00:00:00","HEMBRA","","F8162","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1527","","","","VACA PROD.VACIA","1996-02-26 00:00:00","1997-01-19 00:00:00","HEMBRA","","F8008","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1529","","","","VACA VACIA","1996-02-16 00:00:00","1997-11-12 00:00:00","HEMBRA","","F8140","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 21","14","11","","","","","False",""
"1529","","","","","1995-02-28 00:00:00","1996-02-16 00:00:00","MACHO","","E8030","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","","","","","","False",""
"1539","","","","VACA PROD.VACIA","1994-02-22 00:00:00","1996-06-16 00:00:00","HEMBRA","","E8076","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 28","14","12","","","","","False",""
"1539","","","","VACA PROD.VACIA","1996-06-16 00:00:00","1997-05-10 00:00:00","HEMBRA","","F8064","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","15","12","","","","","False",""
"1539","","","","VACA PROD.VACIA","1997-05-10 00:00:00","1998-04-16 00:00:00","MACHO","","G8135","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1541","","","","VACA PROD.VACIA","1996-06-01 00:00:00","1997-04-21 00:00:00","MACHO","","F8051","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1541","","","","VACA VACIA","1994-06-30 00:00:00","1996-06-01 00:00:00","MACHO","","E8069","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 23","14","11","","","","","False",""
"1549","","","","VACA PROD.VACIA","1995-01-15 00:00:00","1995-12-24 00:00:00","MACHO","","D8157","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1549","","","","VACA VACIA","1995-12-24 00:00:00","1996-11-17 00:00:00","HEMBRA","","E8144","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"1549","","","","VACA PROD.VACIA","1996-11-17 00:00:00","1997-12-29 00:00:00","HEMBRA","","F8181","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","12","","","","","False",""
"1550","","","","VACA VACIA","1995-10-26 00:00:00","1996-09-26 00:00:00","HEMBRA","","E8113","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"1550","","","","VACA VACIA","1994-12-30 00:00:00","1995-10-26 00:00:00","MACHO","","D813-5","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","15","11","","","","","False",""
"1550","","","","VACA PROD.VACIA","1996-09-26 00:00:00","1997-09-10 00:00:00","HEMBRA","","F8108","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"1557","","","","VACA VACIA","1997-04-20 00:00:00","1998-05-18 00:00:00","MACHO","","G8136","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","11","","","","","False",""
"1557","","","","VACA PROD.VACIA","1994-05-28 00:00:00","1997-04-20 00:00:00","MACHO","","F8049","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 35","14","12","","","","","False",""
"1563","","","","VACA VACIA","1996-01-13 00:00:00","1997-01-20 00:00:00","HEMBRA","","F8010","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"1563","","","","VACA VACIA","1996-01-13 00:00:00","1996-01-13 00:00:00","HEMBRA","","E8017","","","","","","0","0","  0","14","11","","","","","False",""
"1566","","","","VACA VACIA","1996-10-13 00:00:00","1997-10-02 00:00:00","MACHO","","F8123","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"1566","","","","VACA VACIA","1995-09-20 00:00:00","1996-10-13 00:00:00","MACHO","","E8126","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","15","11","","","","","False",""
"1566","","","","VACA VACIA","","1995-09-20 00:00:00","MACHO","","D810-6","","","CONDICION 2","","MESTIZO BRAHMAN","0","0","0","14","11","","","","","False",""
"157","","","","","1995-03-13 00:00:00","1996-01-24 00:00:00","HEMBRA","","E8020","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","","","","","","False",""
"1572","","","","VACA VACIA","1996-05-21 00:00:00","1997-04-20 00:00:00","HEMBRA","","F8048","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"1572","","","","VACA PROD.VACIA","1994-04-29 00:00:00","1996-05-21 00:00:00","MACHO","","E8066","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 25","14","12","","","","","False",""
"1572","","","","VACA PROD.VACIA","1997-04-20 00:00:00","1998-04-16 00:00:00","MACHO","","G8082","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","12","","","","","False",""
"1579","","","","VACA VACIA","1996-08-27 00:00:00","1997-10-10 00:00:00","HEMBRA","","F8126","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"1579","","","","","1994-06-04 00:00:00","1995-05-29 00:00:00","MACHO","","D8064","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","","","","","","False",""
"1579","","","","VACA VACIA","1995-05-29 00:00:00","1996-08-27 00:00:00","MACHO","","E8103","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"1591","","","","","1994-09-12 00:00:00","1996-03-16 00:00:00","MACHO","","E8042","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 18","14","","","","","","False",""
"1591","","","","","1994-06-13 00:00:00","1995-05-08 00:00:00","HEMBRA","","D8056","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","","","","","","False",""
"1591","","","","VACA PROD.VACIA","1997-01-27 00:00:00","1998-03-19 00:00:00","MACHO","","G8065","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","12","","","","","False",""
"1591","","","","VACA PROD.VACIA","1995-05-08 00:00:00","1997-01-27 00:00:00","MACHO","","F8014","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 21","14","12","","","","","False",""
"1592","","","","VACA VACIA","1996-01-10 00:00:00","1997-03-13 00:00:00","MACHO","","F8033","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","11","","","","","False",""
"1592","","","","","1994-12-23 00:00:00","1996-01-10 00:00:00","MACHO","","E8014","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","","","","","","False",""
"1593","","","","VACA VACIA","1994-09-19 00:00:00","1995-10-29 00:00:00","MACHO","","D813-7","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","15","11","","","","","False",""
"1593","","","","VACA PROD.VACIA","1995-10-29 00:00:00","1996-11-17 00:00:00","HEMBRA","","E8145","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"1593","","","","VACA PROD.VACIA","1996-11-07 00:00:00","1997-10-15 00:00:00","HEMBRA","","F8127","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1594","","","","VACA VACIA","1994-11-21 00:00:00","1996-01-04 00:00:00","MACHO","","E8007","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","15","11","","","","","False",""
"1594","","","","VACA PROD.VACIA","1996-11-28 00:00:00","1997-09-30 00:00:00","MACHO","","F8121","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","12","","","","","False",""
"1594","","","","VACA VACIA","1996-01-04 00:00:00","1996-11-28 00:00:00","HEMBRA","","E8154","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"1595","","","","","1996-03-16 00:00:00","1996-03-01 00:00:00","HEMBRA","","E8037","","","","","","0","0"," -1","14","","","","","","False",""
"1595","","","","VACA PROD.VACIA","1996-03-01 00:00:00","1998-01-07 00:00:00","HEMBRA","","F8183","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 23","14","12","","","","","False",""
"1599","","","","VACA PROD.VACIA","1996-04-10 00:00:00","1997-02-24 00:00:00","HEMBRA","","F8024","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"1599","","","","","1995-02-14 00:00:00","1996-04-10 00:00:00","MACHO","","E8048","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 14","14","","","","","","False",""
"1599","","","","VACA VACIA","1997-02-24 00:00:00","1998-02-07 00:00:00","HEMBRA","","G8048","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"16","","","","VACA PROD.VACIA","1994-10-04 00:00:00","1997-04-27 00:00:00","HEMBRA","","F8055","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 31","14","12","","","","","False",""
"1602","","","","VACA VACIA","1994-06-03 00:00:00","1996-04-18 00:00:00","HEMBRA","","E8053","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 23","14","11","","","","","False",""
"1602","","","","VACA PROD.VACIA","1996-04-18 00:00:00","1997-02-18 00:00:00","HEMBRA","","F8022","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 10","14","12","","","","","False",""
"1602","","","","VACA PROD.VACIA","1997-02-18 00:00:00","1998-01-17 00:00:00","MACHO","","G8042","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"171","","","","VACA VACIA","1996-05-04 00:00:00","1997-08-01 00:00:00","HEMBRA","","F8090","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"171","","","","VACA VACIA","1994-11-01 00:00:00","1996-05-04 00:00:00","MACHO","","E8056","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 18","14","11","","","","","False",""
"179","","","","VACA VACIA","1996-01-19 00:00:00","1997-01-09 00:00:00","MACHO","","F8003","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"179","","","","VACA VACIA","1995-02-23 00:00:00","1996-01-19 00:00:00","HEMBRA","","E8018","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"187","","","","VACA PROD.VACIA","1994-11-17 00:00:00","1997-02-24 00:00:00","HEMBRA","","F8023","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 28","14","12","","","","","False",""
"187","","","","VACA PROD.VACIA","1997-02-24 00:00:00","1998-03-07 00:00:00","HEMBRA","","G8057","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 13","14","12","","","","","False",""
"196","","","","","1994-05-26 00:00:00","1995-05-21 00:00:00","HEMBRA","","D8060","","","","","","0","0"," 12","14","","","","","","False",""
"196","","","","VACA VACIA","1995-05-21 00:00:00","1996-05-02 00:00:00","MACHO","","E8055","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"196","","","","VACA PROD.VACIA","1996-05-02 00:00:00","1997-04-02 00:00:00","MACHO","","F8037","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"2","","","","VACA VACIA","1994-04-01 00:00:00","1996-08-16 00:00:00","HEMBRA","","E8096","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 29","14","11","","","","","False",""
"2","","","","VACA VACIA","1996-08-16 00:00:00","1997-08-25 00:00:00","MACHO","","F8104","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"204","","","","VACA PROD.VACIA","1997-04-15 00:00:00","1998-08-18 00:00:00","MACHO","","G8126","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 16","14","12","","","","","False",""
"204","","","","VACA PROD.VACIA","1996-05-20 00:00:00","1997-04-15 00:00:00","HEMBRA","","F8045","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
"204","","","","VACA VACIA","1994-06-20 00:00:00","1996-05-20 00:00:00","MACHO","","E8065","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 23","14","11","","","","","False",""
"224","","","","VACA VACIA","1994-08-28 00:00:00","1995-09-06 00:00:00","MACHO","","D809-8","","_","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","14","11","","","","","False",""
"224","","","","VACA VACIA","1995-09-06 00:00:00","1996-08-21 00:00:00","MACHO","","E8099","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 12","15","11","","","","","False",""
"224","","","","VACA VACIA","1996-08-21 00:00:00","1997-07-19 00:00:00","MACHO","","F8086","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","11","","","","","False",""
"226","","","","VACA VACIA","1994-12-02 00:00:00","1996-02-24 00:00:00","MACHO","","E8031","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 15","14","11","","","","","False",""
"231","","","","VACA PROD.VACIA","1997-01-20 00:00:00","1997-12-13 00:00:00","MACHO","","F8163","","","CONDICION 2","","MESTIZO BRAHMAN","0","0"," 11","14","12","","","","","False",""
